diet,mg
chow,0.199
chow,0.363
chow,0.363
0.1,0.321
0.1,0.141
0.1,0.144
0.1,0.145
0.1,0.14
0.1,0.157
0.1,0.137
0.1,0.144
0.4,0.14
0.4,0.16
0.4,0.138
0.4,0.145
0.4,0.15
0.4,0.146
0.4,0.144
0.4,0.149
0.4,0.139
